InvoiceNo,CustomerID,InvoiceDate,Country
536365,17850.0,2010-12-01 08:26:00,United Kingdom
536366,17850.0,2010-12-01 08:28:00,United Kingdom
536367,13047.0,2010-12-01 08:34:00,United Kingdom
536368,13047.0,2010-12-01 08:34:00,United Kingdom
536369,13047.0,2010-12-01 08:35:00,United Kingdom
536370,12583.0,2010-12-01 08:45:00,France
536371,13748.0,2010-12-01 09:00:00,United Kingdom
536372,17850.0,2010-12-01 09:01:00,United Kingdom
536373,17850.0,2010-12-01 09:02:00,United Kingdom
536374,15100.0,2010-12-01 09:09:00,United Kingdom
536375,17850.0,2010-12-01 09:32:00,United Kingdom
536376,15291.0,2010-12-01 09:32:00,United Kingdom
536377,17850.0,2010-12-01 09:34:00,United Kingdom
536378,14688.0,2010-12-01 09:37:00,United Kingdom
536380,17809.0,2010-12-01 09:41:00,United Kingdom
536381,15311.0,2010-12-01 09:41:00,United Kingdom
C536379,14527.0,2010-12-01 09:41:00,United Kingdom
536382,16098.0,2010-12-01 09:45:00,United Kingdom
C536383,15311.0,2010-12-01 09:49:00,United Kingdom
536384,18074.0,2010-12-01 09:53:00,United Kingdom
536385,17420.0,2010-12-01 09:56:00,United Kingdom
536386,16029.0,2010-12-01 09:57:00,United Kingdom
536387,16029.0,2010-12-01 09:58:00,United Kingdom
536388,16250.0,2010-12-01 09:59:00,United Kingdom
536389,12431.0,2010-12-01 10:03:00,Australia
536390,17511.0,2010-12-01 10:19:00,United Kingdom
C536391,17548.0,2010-12-01 10:24:00,United Kingdom
536392,13705.0,2010-12-01 10:29:00,United Kingdom
536393,13747.0,2010-12-01 10:37:00,United Kingdom
536394,13408.0,2010-12-01 10:39:00,United Kingdom
536395,13767.0,2010-12-01 10:47:00,United Kingdom
536396,17850.0,2010-12-01 10:51:00,United Kingdom
536397,17924.0,2010-12-01 10:51:00,United Kingdom
536398,13448.0,2010-12-01 10:52:00,United Kingdom
536399,17850.0,2010-12-01 10:52:00,United Kingdom
536400,13448.0,2010-12-01 10:53:00,United Kingdom
536401,15862.0,2010-12-01 11:21:00,United Kingdom
536402,15513.0,2010-12-01 11:22:00,United Kingdom
536403,12791.0,2010-12-01 11:27:00,Netherlands
536404,16218.0,2010-12-01 11:29:00,United Kingdom
536405,14045.0,2010-12-01 11:32:00,United Kingdom
536406,17850.0,2010-12-01 11:33:00,United Kingdom
536407,17850.0,2010-12-01 11:34:00,United Kingdom
536408,14307.0,2010-12-01 11:41:00,United Kingdom
536409,17908.0,2010-12-01 11:45:00,United Kingdom
536412,17920.0,2010-12-01 11:49:00,United Kingdom
536414,,2010-12-01 11:52:00,United Kingdom
536415,12838.0,2010-12-01 11:57:00,United Kingdom
536416,13255.0,2010-12-01 11:58:00,United Kingdom
536420,16583.0,2010-12-01 12:03:00,United Kingdom
536423,18085.0,2010-12-01 12:08:00,United Kingdom
536425,13758.0,2010-12-01 12:08:00,United Kingdom
536437,13694.0,2010-12-01 12:12:00,United Kingdom
536446,15983.0,2010-12-01 12:15:00,United Kingdom
536460,14849.0,2010-12-01 12:22:00,United Kingdom
536463,14849.0,2010-12-01 12:22:00,United Kingdom
536464,17968.0,2010-12-01 12:23:00,United Kingdom
536466,14849.0,2010-12-01 12:23:00,United Kingdom
536477,16210.0,2010-12-01 12:27:00,United Kingdom
536488,17897.0,2010-12-01 12:31:00,United Kingdom
536500,17377.0,2010-12-01 12:35:00,United Kingdom
536502,16552.0,2010-12-01 12:36:00,United Kingdom
536508,17181.0,2010-12-01 12:38:00,United Kingdom
C536506,17897.0,2010-12-01 12:38:00,United Kingdom
536514,17951.0,2010-12-01 12:40:00,United Kingdom
536520,14729.0,2010-12-01 12:43:00,United Kingdom
536521,12748.0,2010-12-01 12:48:00,United Kingdom
536522,15012.0,2010-12-01 12:49:00,United Kingdom
536523,12868.0,2010-12-01 12:50:00,United Kingdom
536524,17572.0,2010-12-01 12:51:00,United Kingdom
536525,14078.0,2010-12-01 12:54:00,United Kingdom
